"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"Nez Perce Tribe, dba: Appaloosa Express","Lapwai","ID","00135","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Nez Perce Tribe, dba: Appaloosa Express","Lapwai","ID","00135","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","4","Funds Expended on Operations","6090",,"0",,"125125",,"0",,"1314360",,"1445575",
"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service","Mountain Village","AK","00143","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","Funds Expended on Capital","0",,"0",,"0",,"0",,"161456",,"161456",
"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service","Mountain Village","AK","00143","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","Funds Expended on Operations","0",,"0",,"0",,"0",,"59103",,"59103",
"Seldovia Village Tribe, dba: Seldovia Bay Ferry","Seldovia","AK","00199","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Seldovia Village Tribe, dba: Seldovia Bay Ferry","Seldovia","AK","00199","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","Funds Expended on Operations","672504",,"0",,"20944",,"0",,"0",,"693448",
"Spokane Tribe of Indians, dba: The Moccasin Express","Wellpinit","WA","00207","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","10","Funds Expended on Capital","0",,"0",,"0",,"0",,"25266",,"25266",
"Spokane Tribe of Indians, dba: The Moccasin Express","Wellpinit","WA","00207","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","10","Funds Expended on Operations","16250",,"0",,"232580",,"425641",,"652367",,"1326838",
"Jamestown S'Klallam Tribe","Sequim","WA","00223","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Jamestown S'Klallam Tribe","Sequim","WA","00223","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776",,"Funds Expended on Operations","0",,"0",,"0",,"118016",,"16331",,"134347",
"Confederated Tribes of Warm Springs","Warm Springs","OR","00231","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Confederated Tribes of Warm Springs","Warm Springs","OR","00231","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447",,"Funds Expended on Operations","0",,"0",,"588",,"150119",,"0",,"150707",
"Ketchikan Indian Community","Ketchikan","AK","00239","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","4","Funds Expended on Capital","0",,"0",,"0",,"0",,"93000",,"93000",
"Ketchikan Indian Community","Ketchikan","AK","00239","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","4","Funds Expended on Operations","0",,"0",,"0",,"0",,"244816",,"244816",
"Nome Eskimo Community","Nome","AK","00271","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA",,,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Nome Eskimo Community","Nome","AK","00271","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA",,,"Funds Expended on Operations","0",,"0",,"0",,"0",,"2174",,"2174",
"Hydaburg Cooperative Association, dba: HCA transit","Hydaburg","AK","00279","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Hydaburg Cooperative Association, dba: HCA transit","Hydaburg","AK","00279","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","1","Funds Expended on Operations","2900",,"0",,"0",,"0",,"129567",,"132467",
"Garfield County Transportation Program, dba: Garfield County Transportation Authority","Pomeroy","WA","00282","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Garfield County Transportation Program, dba: Garfield County Transportation Authority","Pomeroy","WA","00282","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","3400",,"0",,"11849",,"475062",,"0",,"490311",
"Thurston Regional Planning Council, dba: ruralTRANSIT","Olympia","WA","00285","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Thurston Regional Planning Council, dba: ruralTRANSIT","Olympia","WA","00285","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","Funds Expended on Operations","0",,"0",,"225883",,"1463080",,"0",,"1688963",
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","Funds Expended on Operations","8667",,"0",,"0",,"137910",,"892442",,"1039019",
"People for People Moses Lake","Yakima","WA","00287","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"26","Funds Expended on Capital","189801",,"0",,"0",,"0",,"562403",,"752204",
"People for People Moses Lake","Yakima","WA","00287","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"26","Funds Expended on Operations","229752",,"0",,"0",,"1651960",,"273215",,"2154927",
"City of Pullman, dba: Pullman Transit","Pullman","WA","00294","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","Funds Expended on Capital","0",,"0",,"69088",,"75000",,"0",,"144088",
"City of Pullman, dba: Pullman Transit","Pullman","WA","00294","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","Funds Expended on Operations","1636416",,"0",,"978202",,"2161482",,"1048795",,"5824895",
"Tillamook County Transportation District, dba: The Wave","Tillamook","OR","00296","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Capital","0",,"0",,"0",,"0",,"584851",,"584851",
"Tillamook County Transportation District, dba: The Wave","Tillamook","OR","00296","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Operations","1278032",,"0",,"439742",,"0",,"1227058",,"2944832",
"People for People Yakima","Yakima","WA","00297","Private-Non-Profit Corporation","Reduced Reporter","2024","97507","Yakima, WA","133145","17","Funds Expended on Capital","210971",,"0",,"0",,"0",,"807931",,"1018902",
"People for People Yakima","Yakima","WA","00297","Private-Non-Profit Corporation","Reduced Reporter","2024","97507","Yakima, WA","133145","17","Funds Expended on Operations","81035",,"0",,"0",,"1676317",,"256571",,"2013923",
"Island Transit","Coupeville","WA","00298","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"57","Funds Expended on Capital","0",,"0",,"1849593",,"1000",,"0",,"1850593",
"Island Transit","Coupeville","WA","00298","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"57","Funds Expended on Operations","1987668",,"0",,"4475081",,"8447508",,"2323779",,"17234036",
"Klickitat County Senior Services, dba: Mount Adams Transportation Service","Goldendale","WA","00299","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","Funds Expended on Capital","0",,"0",,"68100",,"272400",,"0",,"340500",
"Klickitat County Senior Services, dba: Mount Adams Transportation Service","Goldendale","WA","00299","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","Funds Expended on Operations","44100",,"0",,"640151",,"973867",,"0",,"1658118",
"City of Silverton, dba: Silver Trolley","Silverton","OR","00300","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Silverton, dba: Silver Trolley","Silverton","OR","00300","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","1944",,"0",,"23698",,"19392",,"61094",,"106128",
"South Clackamas Transportation District","Molalla","OR","00301","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"219406",,"490164",,"259985",,"969555",
"South Clackamas Transportation District","Molalla","OR","00301","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","Funds Expended on Operations","22854",,"0",,"659612",,"310222",,"400641",,"1393329",
"Clallam Transit System","Port Angeles","WA","00303","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"56","Funds Expended on Capital","0",,"0",,"1279891",,"4190480",,"0",,"5470371",
"Clallam Transit System","Port Angeles","WA","00303","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"56","Funds Expended on Operations","458053",,"0",,"11186629",,"649825",,"1384476",,"13678983",
"Coos County Area Transit","Coos Bay","OR","00307","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Capital","54604",,"0",,"11000",,"713783",,"325324",,"1104711",
"Coos County Area Transit","Coos Bay","OR","00307","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Operations","131578",,"0",,"17500",,"906858",,"696223",,"1752159",
"Curry County Public Transit Service District, dba: Curry Public Transit Inc","Brookings","OR","00308","Private Provider Reporting on Behalf of a Public Entity","Rural Reporter","2024",,,,"11","Funds Expended on Capital","0",,"0",,"0",,"0",,"427130",,"427130",
"Curry County Public Transit Service District, dba: Curry Public Transit Inc","Brookings","OR","00308","Private Provider Reporting on Behalf of a Public Entity","Rural Reporter","2024",,,,"11","Funds Expended on Operations","130875",,"0",,"0",,"382516",,"468224",,"981615",
"Grant County Transportation Authority, dba: Grant Transit Authority","Moses Lake","WA","00309","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","Funds Expended on Capital","0",,"0",,"449519",,"1099947",,"240800",,"1790266",
"Grant County Transportation Authority, dba: Grant Transit Authority","Moses Lake","WA","00309","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","Funds Expended on Operations","79198",,"0",,"393251",,"3068210",,"2251660",,"5792319",
"Lincoln County Transportation Service District, dba: Lincoln County Transit","Newport","OR","00310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Capital","0",,"0",,"0",,"107901",,"17262",,"125163",
"Lincoln County Transportation Service District, dba: Lincoln County Transit","Newport","OR","00310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Operations","449044",,"0",,"622303",,"196901",,"489204",,"1757452",
"Mountain Rides Transportation Authority","Ketchum","ID","00311","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"34","Funds Expended on Capital","0",,"0",,"113427",,"0",,"368238",,"481665",
"Mountain Rides Transportation Authority","Ketchum","ID","00311","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"34","Funds Expended on Operations","200277",,"0",,"1330726",,"0",,"2362553",,"3893556",
"Hopesource","Ellensburg","WA","00312","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","Funds Expended on Capital","0",,"0",,"0",,"499395",,"57697",,"557092",
"Hopesource","Ellensburg","WA","00312","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","Funds Expended on Operations","1736",,"0",,"1527654",,"1031655",,"244929",,"2805974",
"Grant County Transportation District, dba: The People Mover","John Day","OR","00313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","35538",,"0",,"0",,"110007",,"0",,"145545",
"Grant County Transportation District, dba: The People Mover","John Day","OR","00313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","252504",,"0",,"0",,"335487",,"330536",,"918527",
"Grays Harbor Transit","Hoquiam","WA","00314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","Funds Expended on Capital","0",,"0",,"940672",,"990224",,"14660",,"1945556",
"Grays Harbor Transit","Hoquiam","WA","00314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","Funds Expended on Operations","1614397",,"0",,"11165926",,"768410",,"810261",,"14358994",
"Mason County Transportation Authority, dba: Mason Transit Authority","Shelton","WA","00315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"35","Funds Expended on Capital","0",,"0",,"0",,"910232",,"2058495",,"2968727",
"Mason County Transportation Authority, dba: Mason Transit Authority","Shelton","WA","00315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"35","Funds Expended on Operations","79162",,"0",,"1846895",,"4993023",,"1711817",,"8630897",
"Jefferson Transit","Port Townsend","WA","00316","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Capital","0",,"0",,"676993",,"0",,"0",,"676993",
"Jefferson Transit","Port Townsend","WA","00316","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Operations","0",,"0",,"3645424",,"1056307",,"1539322",,"6241053",
