"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fares","fares_questionable","park_and_ride","park_and_ride_questionable","concessions","concessions_questionable","advertising","advertising_questionable","other","other_questionable","purchased_transportation","purchased_transportation_1","total","total_questionable"
"Rhode Island Public Transit Authority, dba: RIPTA","Providence","RI","10001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","294","17884700",,,,,,"1064695",,"0",,,,"18949395",
"Manchester Transit Authority","Manchester","NH","10002","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","53740","Manchester, NH","163289","25","457735",,,,,,,,"116274",,,,"574009",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","2006","415957339",,"54266727",,"4369241",,"19039636",,"0",,,,"493632943",
"Brockton Area Transit Authority","Brockton","MA","10004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","82","1792225",,"40586",,,,"100131",,"0",,,,"1932942",
"Lowell Regional Transit Authority, dba: LRTA","Lowell","MA","10005","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","76","1131950",,"639849",,,,"82474",,"0",,,,"1854273",
"Southeastern Regional Transit Authority","New Bedford","MA","10006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61786","New Bedford, MA","155491","79","1032967",,"41344",,,,"115078",,"0",,"97081",,"1286470",
"Berkshire Regional Transit Authority","Pittsfield","MA","10007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69778","Pittsfield, MA","50720","30","594391",,,,"745",,"39998",,"0",,,,"635134",
"Pioneer Valley Transit Authority","Springfield","MA","10008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83926","Springfield, MA--CT","442145","207","5158711",,,,,,"310324",,"0",,,,"5469035",
"Merrimack Valley Regional Transit Authority, dba: Merrimack Valley Transit","Haverhill","MA","10013","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","84","0",,"1401611",,,,"22498",,"0",,,,"1424109",
"Worcester Regional Transit Authority","Worcester","MA","10014","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","97291","Worcester, MA--CT","482085","98","72799",,,,,,"190051",,"0",,,,"262850",
"Lewiston-Auburn Transit Committee","Auburn","ME","10015","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49339","Lewiston, ME","60743","9","179685",,,,,,,,"90723",,,,"270408",
"Greater Portland Transit District, dba: METRO","Portland","ME","10016","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","30","2670561",,,,,,"236907",,"0",,,,"2907468",
"Greater Hartford Transit District","Hartford","CT","10017","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","37243","Hartford, CT","977158","139","1271784",,,,,,"51389",,,,,,"1323173",
"Southeast Area Transit District","Preston","CT","10040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","64135","Norwich--New London, CT","167432","28","1253560",,,,,,"30971",,"0",,,,"1284531",
"Valley Transit District","Derby","CT","10042","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","12","139996",,,,,,"7717",,"0",,,,"147713",
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO","New Britain","CT","10045","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","22","196475",,,,,,,,,,,,"196475",
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit","Hartford","CT","10048","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","213","12131705",,,,,,"671000",,,,,,"12802705",
"Greater New Haven Transit District","Hamden","CT","10049","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","62407","New Haven, CT","561456","51","165759",,,,"7478",,,,,,,,"173237",
"Greater Bridgeport Transit Authority","Bridgeport","CT","10050","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","63","4723860",,,,,,"263007",,"0",,,,"4986867",
"Housatonic Area Regional Transit, dba: HARTransit","Danbury","CT","10051","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","22096","Danbury, CT--NY","171680","41","766150",,,,,,"33283",,"0",,,,"799433",
"Cape Ann Transportation Authority, dba: CATA","Gloucester","MA","10053","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","20","190812",,,,,,"2550",,"0",,,,"193362",
"Connecticut Department of Transportation - CTTRANSIT New Haven Division, dba: CTTransit","Hartford","CT","10055","State Government Unit or Department of Transportation","Full Reporter","2024","62407","New Haven, CT","561456","99","5798391",,,,,,"341000",,,,,,"6139391",
"Connecticut Department of Transportation - CTTRANSIT Stamford Division, dba: CTTransit","Hartford","CT","10056","State Government Unit or Department of Transportation","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","43","3618293",,,,,,"88000",,,,,,"3706293",
"Norwalk Transit District","Norwalk","CT","10057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","75","1428613",,,,,,"149448",,,,,,"1578061",
"Montachusett Regional Transit Authority","Fitchburg","MA","10061","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","49096","Leominster--Fitchburg, MA","111790","630","2816570",,"152165",,,,"28255",,"0",,,,"2996990",
"Greater Attleboro-Taunton Regional Transit Authority","Taunton","MA","10064","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","111","1113354",,"796963",,,,"35644",,"0",,,,"1945961",
"Green Mountain Transit Authority","Burlington","VT","10066","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11755","Burlington, VT","118032","130","3520811",,,,,,"291538",,"0",,,,"3812349",
"Regional Transportation Program, Inc.","Westbrook","ME","10069","Private-Non-Profit Corporation","Reduced Reporter","2024","71263","Portland, ME","205356","26","1508551",,,,,,,,"21252",,,,"1529803",
"Cooperative Alliance for Seacoast Transportation","Dover","NH","10086","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","24607","Dover--Rochester, NH--ME","72391","24","461306",,,,,,"163767",,"0",,,,"625073",
"City of Nashua, dba: Nashua Transit System","Nashua","NH","10087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","61165","Nashua, NH--MA","242984","14","312537",,,,"1711",,"112227",,"0",,,,"426475",
"Casco Bay Island Transit District, dba: Casco Bay Lines","Portland","ME","10088","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","4","3973798",,,,"33980",,"17400",,"0",,,,"4025178",
"City of Bangor, dba: Community Connector","Bangor","ME","10096","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04951","Bangor, ME","61539","20","526584",,,,,,,,"86624",,,,"613208",
"Western Maine Transportation Services, Inc.","Auburn","ME","10098","Private-Non-Profit Corporation","Full Reporter","2024","49339","Lewiston, ME","60743","42","468413",,,,,,,,"0",,"1927378",,"2395791",
"York County Community Action Corporation","Sanford","ME","10099","Private-Non-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","22772",,,,,,,,"156898",,,,"179670",
"Connecticut Department of Transportation","Newington","CT","10102","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","29","2830158",,,,,,"111305",,,,,,"2941463",
"Cape Cod Regional Transit Authority","Hyannis","MA","10105","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05167","Barnstable Town, MA","303269","127","905484",,"290892",,,,"15450",,"0",,,,"1211826",
"Milford Transit District","Milford","CT","10107","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","11","221309",,,,,,"14504",,,,,,"235813",
"City of South Portland, dba: City of South Portland Bus Service","South Portland","ME","10112","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71263","Portland, ME","205356","3","253066",,,,,,,,"64835",,"0",,"317901",
"Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus, dba: BSOOB Transit","Saco","ME","10114","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","71263","Portland, ME","205356","12","301740",,,,,,,,"536991",,,,"838731",
"Northern New England Passenger Rail Authority, dba: Amtrak Downeaster","Portland","ME","10115","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","21","13051548",,"627738",,"1076134",,,,"0",,,,"14755420",
"MetroWest Regional Transit Authority","Framingham","MA","10118","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","106","595252",,"253365",,"458",,"63427",,"0",,"0",,"912502",
"University Of New Hampshire, dba: Wildcat Transit","Durham","NH","10119","University","Reduced Reporter","2024","24607","Dover--Rochester, NH--ME","72391","15","10653",,,,,,,,"1787847",,"0",,"1798500",
"Androscoggin Valley Council of Governments","Auburn","ME","10121","MPO, COG or Other Planning Agency","Planning Reporter","2024","49339","Lewiston, ME","59397","0",,,,,,,,,,,,,,
"Jalbert Leasing, Inc., dba: C&J Bus Lines","Portsmouth","NH","10122","Private-For-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","15691548",,,,,,,,"0",,"0",,"15691548",
"Connecticut Department of Transportation- CTTransit Waterbury- NET, dba: CTTransit","Watertown","CT","10128","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","92485","Waterbury, CT","199317","62","1319728",,,,,,"111305",,"0",,"23538483",,"24969516",
"Connecticut Department of Transportation -CTTRANSIT New Britain, dba: CTTRANSIT","Berlin","CT","10130","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","18","370867",,,,,,"47782",,,,,,"418649",
"Northwestern CT Transit District","Torrington","CT","10131","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","57785",,,,,,,,"0",,"87846",,"145631",
"Boston Express Bus, Inc.","Concord","NH","10133","Private-For-Profit Corporation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","17","4514043",,,,,,,,"266291",,,,"4780334",
"Penquis Community Action Program, dba: Penquis Transportation Services","Bangor","ME","10134","Private-Non-Profit Corporation","Reduced Reporter","2024","04951","Bangor, ME","61539","99","13822896",,,,,,,,"772388",,,,"14595284",
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"30","0",,,,,,,,"158909",,"0",,"158909",
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0","0",,,,,,,,"372997",,,,"372997",
"Estuary Transit District, dba: River Valley Transit","Middletown","CT","10140","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","37243","Hartford, CT","977158","23","483677",,,,,,,,"0",,,,"483677",
"Aroostook Regional Transportation Systems, Inc., dba: Aroostook Regional Transportation Systems","Presque Isle","ME","10142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23","88067",,,,,,,,"816763",,,,"904830",
"Tri-Valley Transit Inc","Middlebury","VT","10143","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"81","1400872",,,,,,,,"301195",,,,"1702067",
"Southeast Vermont Transit, Inc","Wilmington","VT","10144","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"80","2595448",,,,,,,,"1243978",,,,"3839426",
"Martha's Vineyard Transit Authority","Edgartown","MA","10145","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"33","1734497",,,,,,,,,,"237291",,"1971788",
"Rural Community Transportation","Lyndonville","VT","10148","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68","3126570",,,,,,,,"475073",,,,"3601643",
"Windham Region Transit District","Mansfield Center","CT","10149","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","64135","Norwich--New London, CT","167432","26","100081",,,,,,,,,,"1474381",,"1574462",
"Green Mountain Community Network","Bennington","VT","10151","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","833412",,,,,,,,"393763",,,,"1227175",
"Town of Cranberry Isles","Islesford","ME","10153","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","37702",,,,,,,,,,,,"37702",
"Marble Valley Regional Transit District","Rutland","VT","10154","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"65","1571280",,,,,,,,"693916",,,,"2265196",
"Kennebec Valley Community Action Program","Waterville","ME","10155","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"50","79753",,,,,,,,"11387804",,,,"11467557",
"Northeastern Connecticut Transit District","Dayville","CT","10156","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","21003",,,,,,,,"4710",,,,"25713",
"VNA Home Healthcare, Hospice & Community Service","Keene","NH","10159","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","15630",,,,,,,,"6826",,"0",,"22456",
"Belknap-Merrimack CAP/Concord Area Transit, dba: Community Action Program Belknap-Merrimack Countie","Concord","NH","10161","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0",,,,,,,,"95193",,,,"95193",
"Nantucket Regional Transit Authority","Nantucket","MA","10162","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","444317",,,,,,,,,,,,"444317",
"Isle au Haut Boat Services","Stonington","ME","10167","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","402111",,,,,,,,"362514",,,,"764625",
"Waldo Community Action Partners","Belfast","ME","10169","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"40","79894",,,,,,,,"637845",,,,"717739",
"Tri-County CAP, Inc./Carroll County Transit, dba: Tri County Community Action Program, Inc.","Berlin","NH","10170","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","2671",,,,,,,,"9158",,,,"11829",
"Tri-County CAP, Inc./North Country Transit, dba: Tri County Community Action Program, Inc.","Berlin","NH","10172","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","36089",,,,,,,,"7494",,,,"43583",
