"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"Lane Council of Governments, dba: Link Lane","Eugene","OR","00464","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","133659","133659"
"Rhode Island Public Transit Authority, dba: RIPTA","Providence","RI","10001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","294","1916198","0","0","0","3125280","0","0","0","0","5041478"
"Manchester Transit Authority","Manchester","NH","10002","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","53740","Manchester, NH","163289","25","0","0","0","0","0","0","0","0","2109197","2109197"
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","2006","188384637","0","0","0","0","0","0","0","0","188384637"
"Brockton Area Transit Authority","Brockton","MA","10004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","82","3473910","0","0","0","0","0","0","0","0","3473910"
"Lowell Regional Transit Authority, dba: LRTA","Lowell","MA","10005","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","76","3258900","0","0","0","0","0","0","0","0","3258900"
"Southeastern Regional Transit Authority","New Bedford","MA","10006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61786","New Bedford, MA","155491","79","3797250","0","0","0","0","0","0","0","0","3797250"
"Berkshire Regional Transit Authority","Pittsfield","MA","10007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69778","Pittsfield, MA","50720","30","1075887","0","0","0","0","0","0","0","0","1075887"
"Pioneer Valley Transit Authority","Springfield","MA","10008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83926","Springfield, MA--CT","442145","207","10123712","0","0","0","0","0","0","0","0","10123712"
"Merrimack Valley Regional Transit Authority, dba: Merrimack Valley Transit","Haverhill","MA","10013","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","84","4656425","0","0","0","0","0","0","0","0","4656425"
"Worcester Regional Transit Authority","Worcester","MA","10014","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","97291","Worcester, MA--CT","482085","98","6380555","0","0","0","0","0","0","0","0","6380555"
"Lewiston-Auburn Transit Committee","Auburn","ME","10015","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49339","Lewiston, ME","60743","9","0","0","0","0","0","0","0","0","679831","679831"
"Greater Portland Transit District, dba: METRO","Portland","ME","10016","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","30","81764","0","0","4452829","0","0","0","0","0","4534593"
"Greater Hartford Transit District","Hartford","CT","10017","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","37243","Hartford, CT","977158","139","106745","0","0","0","0","0","0","0","0","106745"
"Southeast Area Transit District","Preston","CT","10040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","64135","Norwich--New London, CT","167432","28","635341","0","0","0","0","0","0","0","0","635341"
"Valley Transit District","Derby","CT","10042","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","12","48250","0","0","0","0","0","0","0","0","48250"
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO","New Britain","CT","10045","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","22","0","0","0","0","0","0","0","0","0","0"
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit","Hartford","CT","10048","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","213","0","0","0","0","0","0","0","0","0","0"
"Greater New Haven Transit District","Hamden","CT","10049","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","62407","New Haven, CT","561456","51","158489","0","0","0","0","0","0","0","0","158489"
"Greater Bridgeport Transit Authority","Bridgeport","CT","10050","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","63","117704","0","0","0","0","0","0","0","0","117704"
"Housatonic Area Regional Transit, dba: HARTransit","Danbury","CT","10051","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","22096","Danbury, CT--NY","171680","41","1459256","0","0","0","0","0","0","0","0","1459256"
"Cape Ann Transportation Authority, dba: CATA","Gloucester","MA","10053","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","20","835162","0","0","0","0","0","0","0","0","835162"
"Connecticut Department of Transportation - CTTRANSIT New Haven Division, dba: CTTransit","Hartford","CT","10055","State Government Unit or Department of Transportation","Full Reporter","2024","62407","New Haven, CT","561456","99","0","0","0","0","0","0","0","0","0","0"
"Connecticut Department of Transportation - CTTRANSIT Stamford Division, dba: CTTransit","Hartford","CT","10056","State Government Unit or Department of Transportation","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","43","0","0","0","0","0","0","0","0","0","0"
"Norwalk Transit District","Norwalk","CT","10057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","75","1122351","0","0","0","0","0","0","0","0","1122351"
"Montachusett Regional Transit Authority","Fitchburg","MA","10061","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","49096","Leominster--Fitchburg, MA","111790","630","2796331","0","0","0","0","0","0","0","0","2796331"
"Greater Attleboro-Taunton Regional Transit Authority","Taunton","MA","10064","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","111","4995225","0","0","0","0","0","0","62931","0","5058156"
"Green Mountain Transit Authority","Burlington","VT","10066","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11755","Burlington, VT","118032","130","4345529","0","0","0","0","0","0","0","0","4345529"
"Regional Transportation Program, Inc.","Westbrook","ME","10069","Private-Non-Profit Corporation","Reduced Reporter","2024","71263","Portland, ME","205356","26","0","0","0","0","0","0","0","0","89099","89099"
"Cooperative Alliance for Seacoast Transportation","Dover","NH","10086","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","24607","Dover--Rochester, NH--ME","72391","24","1402995","0","0","0","0","0","0","0","0","1402995"
"City of Nashua, dba: Nashua Transit System","Nashua","NH","10087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","61165","Nashua, NH--MA","242984","14","1109953","0","0","0","0","0","0","0","0","1109953"
"Casco Bay Island Transit District, dba: Casco Bay Lines","Portland","ME","10088","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","4","1969620","0","0","0","0","0","0","0","0","1969620"
"City of Bangor, dba: Community Connector","Bangor","ME","10096","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04951","Bangor, ME","61539","20","0","0","0","0","0","0","0","0","2071000","2071000"
"Western Maine Transportation Services, Inc.","Auburn","ME","10098","Private-Non-Profit Corporation","Full Reporter","2024","49339","Lewiston, ME","60743","42","0","0","0","0","33008","0","0","0","0","33008"
"York County Community Action Corporation","Sanford","ME","10099","Private-Non-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","0","0","0","0","0","0","0","0","63141","63141"
"Connecticut Department of Transportation","Newington","CT","10102","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","29","14000","0","0","0","0","0","0","0","0","14000"
"Cape Cod Regional Transit Authority","Hyannis","MA","10105","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05167","Barnstable Town, MA","303269","127","2265485","0","0","0","0","0","0","0","0","2265485"
"Milford Transit District","Milford","CT","10107","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","11","30030","0","0","0","0","0","0","0","0","30030"
"City of South Portland, dba: City of South Portland Bus Service","South Portland","ME","10112","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71263","Portland, ME","205356","3","0","0","0","0","0","0","0","0","429004","429004"
"Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus, dba: BSOOB Transit","Saco","ME","10114","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","71263","Portland, ME","205356","12","0","0","0","0","0","0","0","0","348445","348445"
"Northern New England Passenger Rail Authority, dba: Amtrak Downeaster","Portland","ME","10115","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","21","0","0","0","0","0","0","0","0","0","0"
"MetroWest Regional Transit Authority","Framingham","MA","10118","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","106","4664410","0","0","0","0","0","0","0","0","4664410"
"University Of New Hampshire, dba: Wildcat Transit","Durham","NH","10119","University","Reduced Reporter","2024","24607","Dover--Rochester, NH--ME","72391","15","0","0","0","0","0","0","0","0","1089415","1089415"
"Androscoggin Valley Council of Governments","Auburn","ME","10121","MPO, COG or Other Planning Agency","Planning Reporter","2024","49339","Lewiston, ME","59397","0","15971","0","0","0","0","0","0","0","0","15971"
"Jalbert Leasing, Inc., dba: C&J Bus Lines","Portsmouth","NH","10122","Private-For-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","0","0","0","0","0","0","0","0","0","0"
"Connecticut Department of Transportation- CTTransit Waterbury- NET, dba: CTTransit","Watertown","CT","10128","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","92485","Waterbury, CT","199317","62","284136","0","0","0","0","0","0","0","0","284136"
"Connecticut Department of Transportation -CTTRANSIT New Britain, dba: CTTRANSIT","Berlin","CT","10130","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","18","0","0","0","0","0","0","0","0","0","0"
"Northwestern CT Transit District","Torrington","CT","10131","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","10000","10000"
"Boston Express Bus, Inc.","Concord","NH","10133","Private-For-Profit Corporation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","17","0","0","0","0","0","0","0","0","0","0"
"Penquis Community Action Program, dba: Penquis Transportation Services","Bangor","ME","10134","Private-Non-Profit Corporation","Reduced Reporter","2024","04951","Bangor, ME","61539","99","0","0","0","0","0","0","0","0","0","0"
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0","0","0","0","0","0","0","0","0","208465","208465"
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"30","0","0","0","0","0","0","0","0","1705650","1705650"
"Estuary Transit District, dba: River Valley Transit","Middletown","CT","10140","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","37243","Hartford, CT","977158","23","0","0","0","0","0","0","0","0","5694","5694"
"Aroostook Regional Transportation Systems, Inc., dba: Aroostook Regional Transportation Systems","Presque Isle","ME","10142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","211584","211584"
"Tri-Valley Transit Inc","Middlebury","VT","10143","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"81","0","0","0","0","0","0","0","0","157785","157785"
"Southeast Vermont Transit, Inc","Wilmington","VT","10144","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"80","0","0","0","0","0","0","0","0","113950","113950"
"Martha's Vineyard Transit Authority","Edgartown","MA","10145","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"33","0","0","0","0","0","0","0","0","1059920","1059920"
"Rural Community Transportation","Lyndonville","VT","10148","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68","0","0","0","0","0","0","0","0","1499","1499"
