"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","income_tax","sales_tax","property_tax","fuel_tax","other_tax","tolls","other_funds","total"
"Norwalk Transit District","Norwalk","CT","10057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","75",,,,,,,,
"Montachusett Regional Transit Authority","Fitchburg","MA","10061","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","49096","Leominster--Fitchburg, MA","111790","630",,,,,,,,
"Greater Attleboro-Taunton Regional Transit Authority","Taunton","MA","10064","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","111",,,,,,,,
"Green Mountain Transit Authority","Burlington","VT","10066","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11755","Burlington, VT","118032","130",,,,,,,,
"Regional Transportation Program, Inc.","Westbrook","ME","10069","Private-Non-Profit Corporation","Reduced Reporter","2024","71263","Portland, ME","205356","26",,,,,,,,
"Cooperative Alliance for Seacoast Transportation","Dover","NH","10086","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","24607","Dover--Rochester, NH--ME","72391","24",,,,,,,,
"City of Nashua, dba: Nashua Transit System","Nashua","NH","10087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","61165","Nashua, NH--MA","242984","14",,,,,,,,
"Casco Bay Island Transit District, dba: Casco Bay Lines","Portland","ME","10088","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","4",,,,,,,,
"City of Bangor, dba: Community Connector","Bangor","ME","10096","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04951","Bangor, ME","61539","20",,,,,,,,
"Western Maine Transportation Services, Inc.","Auburn","ME","10098","Private-Non-Profit Corporation","Full Reporter","2024","49339","Lewiston, ME","60743","42",,,,,,,,
"York County Community Action Corporation","Sanford","ME","10099","Private-Non-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14",,,,,,,,
"Connecticut Department of Transportation","Newington","CT","10102","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","29",,,,,,,,
"Cape Cod Regional Transit Authority","Hyannis","MA","10105","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05167","Barnstable Town, MA","303269","127",,,,,,,,
"Milford Transit District","Milford","CT","10107","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","11",,,,,,,,
"City of South Portland, dba: City of South Portland Bus Service","South Portland","ME","10112","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71263","Portland, ME","205356","3",,,,,,,,
"Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus, dba: BSOOB Transit","Saco","ME","10114","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","71263","Portland, ME","205356","12",,,,,,,,
"Northern New England Passenger Rail Authority, dba: Amtrak Downeaster","Portland","ME","10115","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","21",,,,,,,,
"MetroWest Regional Transit Authority","Framingham","MA","10118","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","106",,,,,,,,
"University Of New Hampshire, dba: Wildcat Transit","Durham","NH","10119","University","Reduced Reporter","2024","24607","Dover--Rochester, NH--ME","72391","15",,,,,,,,
"Androscoggin Valley Council of Governments","Auburn","ME","10121","MPO, COG or Other Planning Agency","Planning Reporter","2024","49339","Lewiston, ME","59397","0",,,,,,,,
"Jalbert Leasing, Inc., dba: C&J Bus Lines","Portsmouth","NH","10122","Private-For-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14",,,,,,,,
"Connecticut Department of Transportation- CTTransit Waterbury- NET, dba: CTTransit","Watertown","CT","10128","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","92485","Waterbury, CT","199317","62",,,,,,,,
"Connecticut Department of Transportation -CTTRANSIT New Britain, dba: CTTRANSIT","Berlin","CT","10130","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","18",,,,,,,,
"Northwestern CT Transit District","Torrington","CT","10131","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12",,,,,,,,
"Boston Express Bus, Inc.","Concord","NH","10133","Private-For-Profit Corporation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","17",,,,,,,,
"Penquis Community Action Program, dba: Penquis Transportation Services","Bangor","ME","10134","Private-Non-Profit Corporation","Reduced Reporter","2024","04951","Bangor, ME","61539","99",,,,,,,,
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"30",,,,,,,,
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0",,,,,,,,
"Estuary Transit District, dba: River Valley Transit","Middletown","CT","10140","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","37243","Hartford, CT","977158","23",,,,,,,,
"Aroostook Regional Transportation Systems, Inc., dba: Aroostook Regional Transportation Systems","Presque Isle","ME","10142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23",,,,,,,,
"Tri-Valley Transit Inc","Middlebury","VT","10143","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"81",,,,,,,,
"Southeast Vermont Transit, Inc","Wilmington","VT","10144","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"80",,,,,,,,
"Martha's Vineyard Transit Authority","Edgartown","MA","10145","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"33",,,,,,,,
"Rural Community Transportation","Lyndonville","VT","10148","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68",,,,,,,,
"Windham Region Transit District","Mansfield Center","CT","10149","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","64135","Norwich--New London, CT","167432","26",,,,,,,,
"Green Mountain Community Network","Bennington","VT","10151","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32",,,,,,,,
"Town of Cranberry Isles","Islesford","ME","10153","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Marble Valley Regional Transit District","Rutland","VT","10154","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"65",,,,,,,,
"Kennebec Valley Community Action Program","Waterville","ME","10155","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"50",,,,,,,,
"Northeastern Connecticut Transit District","Dayville","CT","10156","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16",,,,,,,,
"VNA Home Healthcare, Hospice & Community Service","Keene","NH","10159","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6",,,,,,,,
"Belknap-Merrimack CAP/Concord Area Transit, dba: Community Action Program Belknap-Merrimack Countie","Concord","NH","10161","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12",,,,,,,,
"Nantucket Regional Transit Authority","Nantucket","MA","10162","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17",,,,,,,,
"Isle au Haut Boat Services","Stonington","ME","10167","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"Waldo Community Action Partners","Belfast","ME","10169","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"40",,,,,,,,
"Tri-County CAP, Inc./Carroll County Transit, dba: Tri County Community Action Program, Inc.","Berlin","NH","10170","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"Tri-County CAP, Inc./North Country Transit, dba: Tri County Community Action Program, Inc.","Berlin","NH","10172","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"Franklin Regional Transit Authority","Greenfield","MA","10173","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"41",,,,,,,,
"Vermont Association for the Blind and Visually Impaired","South Burlington","VT","10174","Private-Non-Profit Corporation","Reduced Reporter","2024","11755","Burlington, VT","118032","7",,,,,,,,
"Downeast Transportation, Inc., dba: Downeast","Trenton","ME","10175","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"34",,,,,,,,
"West's Transportation, Inc., dba: West's Bus Service","Steuben","ME","10177","Private-For-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"Town of Bedford, dba: Bedford Local Transit","Bedford","MA","10178","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","2",,,,,,,,
"City of Beverly","Beverly","MA","10179","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","1",,,,,,,,
"Town of Lexington, dba: Lexpress","Lexington","MA","10181","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","3",,,,,,,,
"Mission Hill Link, Inc., dba: Mission Hill Link","Boston","MA","10182","Private-Non-Profit Corporation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","1",,,,,,,,
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority, dba: The Steamship Authority","Falmouth","MA","10183","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05167","Barnstable Town, MA","303269","25",,,,,,,,
"The Mashpee Wampanoag Tribe","Mashpee","MA","10184","Tribe","Reduced Reporter","2024","05167","Barnstable Town, MA","303269","4",,,,,,,,
"Concord Coach Lines, Inc","Concord","NH","10197","Private-For-Profit Corporation","Planning Reporter","2024","09271","Boston, MA--NH","4382009","0",,,,,,,,
"Houlton Band of Maliseet Indians","Littleton","ME","11140","Tribe","Reduced Reporter","2024","00023","Maine Non-UZA","995851","11",,,,,,,,
"Aroostook Band of Micmacs","Presque Isle","ME","11146","Tribe","Reduced Reporter","2024","00023","Maine Non-UZA","995851","2",,,,,,,,
"Rhode Island Department of Transportation","Providence","RI","11147","State Government Unit or Department of Transportation","Full Reporter","2024","72505","Providence, RI--MA","1285806","1",,,,,,,,
"Mashantucket Pequot Tribal Nation","Mashantucket","CT","11152","Tribe","Reduced Reporter","2024","00009","Connecticut Non-UZA","671921","1",,,,,,,,
"Southwestern Community Services Transportation, dba: Southwestern Community Services","Keene","NH","11156","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Peter Pan Bus Lines, dba: Peter Pan","Springfield","MA","11160","Private-For-Profit Corporation","Full Reporter","2024","09271","Boston, MA--NH","4382009","10",,,,,,,,
"Downeast Community Partners, Inc.","Ellsworth","ME","11161","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24",,,,,,,,
"Maine Department of Transportation","Augusta","ME","11235","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Hyannis Harbor Tours, Inc., dba: Hy-Line Cruises","Hyannis","MA","11239","Private-For-Profit Corporation","Full Reporter","2024","05167","Barnstable Town, MA","303269","4",,,,,,,,
"Vermont Agency of Transportation","Barre","VT","11246","State Government Unit or Department of Transportation","Reduced Reporter","2024","11755","Burlington, VT","118032","12",,,,,,,,
"Capital District Transportation Authority","Albany","NY","20002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","00970","Albany--Schenectady, NY","593142","363",,,,,,,,
"Broome County, dba: BC Transit","Binghamton","NY","20003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","07732","Binghamton, NY","155942","54",,,,,,,,
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11350","Buffalo, NY","948864","285",,,,,,,,
"Chemung County, dba: C TRAN","Elmira","NY","20005","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","27118","Elmira, NY","62468","24",,,,,,,,
"City of Long Beach","Long Beach","NY","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","7",,,,,,,,
"MTA New York City Transit","Brooklyn","NY","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","10133",,,,,,,,
"Dutchess County, dba: Dutchess County Public Transit","Poughkeepsie","NY","20010","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71803","Poughkeepsie--Newburgh, NY","314766","48",,,,,,,,
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority","Syracuse","NY","20018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","86302","Syracuse, NY","413660","192",,,,,,,,
"Town of Huntington, dba: Huntington Area Rapid Transit","Huntington","NY","20071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","21",,,,,,,,
"Suffolk County, dba: Suffolk County Transit","Yaphank","NY","20072","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","278",,,,,,,,
