"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"Southeastern Regional Transit Authority","New Bedford","MA","10006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61786","New Bedford, MA","155491","79","10638045","0","0","0","0","0","10638045"
"Berkshire Regional Transit Authority","Pittsfield","MA","10007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69778","Pittsfield, MA","50720","30","4883496","0","448646","6115","0","0","5338257"
"Pioneer Valley Transit Authority","Springfield","MA","10008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83926","Springfield, MA--CT","442145","207","23068074","0","0","960822","0","0","24028896"
"Merrimack Valley Regional Transit Authority, dba: Merrimack Valley Transit","Haverhill","MA","10013","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","84","14409160","0","0","0","0","0","14409160"
"Worcester Regional Transit Authority","Worcester","MA","10014","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","97291","Worcester, MA--CT","482085","98","11548628","1157159","0","47272","0","0","12753059"
"Lewiston-Auburn Transit Committee","Auburn","ME","10015","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49339","Lewiston, ME","60743","9","1151415","0","0","0","0","0","1151415"
"Greater Portland Transit District, dba: METRO","Portland","ME","10016","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","30","8468700","0","0","0","0","0","8468700"
"Greater Hartford Transit District","Hartford","CT","10017","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","37243","Hartford, CT","977158","139","3969016","0","0","125947","0","0","4094963"
"Southeast Area Transit District","Preston","CT","10040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","64135","Norwich--New London, CT","167432","28","3055947","0","0","0","0","0","3055947"
"Valley Transit District","Derby","CT","10042","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","12","0","0","0","0","0","0","0"
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO","New Britain","CT","10045","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","22","0","0","0","0","0","0","0"
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit","Hartford","CT","10048","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","213","4243785","0","0","0","0","0","4243785"
"Greater New Haven Transit District","Hamden","CT","10049","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","62407","New Haven, CT","561456","51","851137","0","0","0","0","0","851137"
"Greater Bridgeport Transit Authority","Bridgeport","CT","10050","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","63","3963858","38874","0","0","0","0","4002732"
"Housatonic Area Regional Transit, dba: HARTransit","Danbury","CT","10051","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","22096","Danbury, CT--NY","171680","41","2480659","0","0","0","0","0","2480659"
"Cape Ann Transportation Authority, dba: CATA","Gloucester","MA","10053","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","20","1944181","0","0","0","0","0","1944181"
"Connecticut Department of Transportation - CTTRANSIT New Haven Division, dba: CTTransit","Hartford","CT","10055","State Government Unit or Department of Transportation","Full Reporter","2024","62407","New Haven, CT","561456","99","0","0","0","0","0","0","0"
"Connecticut Department of Transportation - CTTRANSIT Stamford Division, dba: CTTransit","Hartford","CT","10056","State Government Unit or Department of Transportation","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","43","0","0","0","0","0","0","0"
"Norwalk Transit District","Norwalk","CT","10057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","75","14383950","0","0","0","0","0","14383950"
"Montachusett Regional Transit Authority","Fitchburg","MA","10061","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","49096","Leominster--Fitchburg, MA","111790","630","7707837","0","0","60750","0","0","7768587"
"Greater Attleboro-Taunton Regional Transit Authority","Taunton","MA","10064","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","111","10545422","258770","0","1360746","0","0","12164938"
"Green Mountain Transit Authority","Burlington","VT","10066","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11755","Burlington, VT","118032","130","21860881","42042","4960499","1295561","0","0","28158983"
"Regional Transportation Program, Inc.","Westbrook","ME","10069","Private-Non-Profit Corporation","Reduced Reporter","2024","71263","Portland, ME","205356","26","0","0","1346581","127130","0","0","1473711"
"Cooperative Alliance for Seacoast Transportation","Dover","NH","10086","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","24607","Dover--Rochester, NH--ME","72391","24","5427359","0","0","467198","0","0","5894557"
"City of Nashua, dba: Nashua Transit System","Nashua","NH","10087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","61165","Nashua, NH--MA","242984","14","1946445","0","0","230400","0","0","2176845"
"Casco Bay Island Transit District, dba: Casco Bay Lines","Portland","ME","10088","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","4","10869410","0","0","0","0","0","10869410"
"City of Bangor, dba: Community Connector","Bangor","ME","10096","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04951","Bangor, ME","61539","20","3240466","0","0","0","0","0","3240466"
"Western Maine Transportation Services, Inc.","Auburn","ME","10098","Private-Non-Profit Corporation","Full Reporter","2024","49339","Lewiston, ME","60743","42","122219","0","2573288","211805","0","110179","3017491"
"York County Community Action Corporation","Sanford","ME","10099","Private-Non-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","1114611","0","542496","50995","0","0","1708102"
"Connecticut Department of Transportation","Newington","CT","10102","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","29","3036368","0","4940","239094","0","0","3280402"
"Cape Cod Regional Transit Authority","Hyannis","MA","10105","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05167","Barnstable Town, MA","303269","127","13250156","0","0","0","0","0","13250156"
"Milford Transit District","Milford","CT","10107","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","11","2169994","0","0","0","0","10500","2180494"
"City of South Portland, dba: City of South Portland Bus Service","South Portland","ME","10112","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71263","Portland, ME","205356","3","1879258","0","0","0","0","0","1879258"
"Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus, dba: BSOOB Transit","Saco","ME","10114","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","71263","Portland, ME","205356","12","1997906","0","976654","0","35855","0","3010415"
"Northern New England Passenger Rail Authority, dba: Amtrak Downeaster","Portland","ME","10115","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","21","5087193","8226418","0","0","4501100","0","17814711"
"MetroWest Regional Transit Authority","Framingham","MA","10118","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","106","1764148","0","0","194402","0","0","1958550"
"University Of New Hampshire, dba: Wildcat Transit","Durham","NH","10119","University","Reduced Reporter","2024","24607","Dover--Rochester, NH--ME","72391","15","1256582","0","0","0","0","0","1256582"
"Androscoggin Valley Council of Governments","Auburn","ME","10121","MPO, COG or Other Planning Agency","Planning Reporter","2024","49339","Lewiston, ME","59397","0","47913","0","0","0","0","0","47913"
"Jalbert Leasing, Inc., dba: C&J Bus Lines","Portsmouth","NH","10122","Private-For-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","1492338","0","0","0","0","0","1492338"
"Connecticut Department of Transportation- CTTransit Waterbury- NET, dba: CTTransit","Watertown","CT","10128","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","92485","Waterbury, CT","199317","62","0","0","0","0","0","0","0"
"Connecticut Department of Transportation -CTTRANSIT New Britain, dba: CTTRANSIT","Berlin","CT","10130","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","18","0","0","0","0","0","0","0"
"Northwestern CT Transit District","Torrington","CT","10131","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","0","0","1719335","66500","0","0","1785835"
"Boston Express Bus, Inc.","Concord","NH","10133","Private-For-Profit Corporation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","17","2232084","0","0","0","0","0","2232084"
"Penquis Community Action Program, dba: Penquis Transportation Services","Bangor","ME","10134","Private-Non-Profit Corporation","Reduced Reporter","2024","04951","Bangor, ME","61539","99","0","0","1196014","483041","0","173332","1852387"
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0","48869","0","1454108","11248","0","0","1514225"
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"30","1284997","0","3202000","0","0","0","4486997"
"Estuary Transit District, dba: River Valley Transit","Middletown","CT","10140","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","37243","Hartford, CT","977158","23","3302930","0","943125","198994","54088","19223","4518360"
"Aroostook Regional Transportation Systems, Inc., dba: Aroostook Regional Transportation Systems","Presque Isle","ME","10142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23","13905","0","1240762","89585","0","0","1344252"
"Tri-Valley Transit Inc","Middlebury","VT","10143","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"81","500120","0","5711160","0","0","0","6211280"
"Southeast Vermont Transit, Inc","Wilmington","VT","10144","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"80","912549","0","3762624","176601","0","0","4851774"
"Martha's Vineyard Transit Authority","Edgartown","MA","10145","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"33","0","0","2125485","0","0","0","2125485"
"Rural Community Transportation","Lyndonville","VT","10148","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68","1026688","0","2929223","302766","0","0","4258677"
"Windham Region Transit District","Mansfield Center","CT","10149","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","64135","Norwich--New London, CT","167432","26","0","0","2223042","0","0","21133","2244175"
"Green Mountain Community Network","Bennington","VT","10151","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","18585","0","1458949","100119","0","0","1577653"
"Town of Cranberry Isles","Islesford","ME","10153","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","30954","0","0","0","30954"
"Marble Valley Regional Transit District","Rutland","VT","10154","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"65","1241911","0","4173014","0","0","0","5414925"
"Kennebec Valley Community Action Program","Waterville","ME","10155","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"50","0","0","648881","34100","0","0","682981"
