"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"Housatonic Area Regional Transit, dba: HARTransit","Danbury","CT","10051","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","22096","Danbury, CT--NY","171680","41","278893","5523658","0","5802551",
"Cape Ann Transportation Authority, dba: CATA","Gloucester","MA","10053","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","20","2656046","0","0","2656046",
"Connecticut Department of Transportation - CTTRANSIT New Haven Division, dba: CTTransit","Hartford","CT","10055","State Government Unit or Department of Transportation","Full Reporter","2024","62407","New Haven, CT","561456","99","0","53268022","0","53268022",
"Connecticut Department of Transportation - CTTRANSIT Stamford Division, dba: CTTransit","Hartford","CT","10056","State Government Unit or Department of Transportation","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","43","0","20079574","0","20079574",
"Norwalk Transit District","Norwalk","CT","10057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","75","18076164","0","0","18076164",
"Montachusett Regional Transit Authority","Fitchburg","MA","10061","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","49096","Leominster--Fitchburg, MA","111790","630","8716378","13326569","0","22042947",
"Greater Attleboro-Taunton Regional Transit Authority","Taunton","MA","10064","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","72505","Providence, RI--MA","1285806","111","11606101","0","0","11606101",
"Green Mountain Transit Authority","Burlington","VT","10066","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11755","Burlington, VT","118032","130","5897509","0","0","5897509",
"Regional Transportation Program, Inc.","Westbrook","ME","10069","Private-Non-Profit Corporation","Reduced Reporter","2024","71263","Portland, ME","205356","26","0","0","238726","238726",
"Cooperative Alliance for Seacoast Transportation","Dover","NH","10086","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","24607","Dover--Rochester, NH--ME","72391","24","71201","0","0","71201",
"City of Nashua, dba: Nashua Transit System","Nashua","NH","10087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","61165","Nashua, NH--MA","242984","14","188937","32000","0","220937",
"Casco Bay Island Transit District, dba: Casco Bay Lines","Portland","ME","10088","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","4","0","552483","0","552483",
"City of Bangor, dba: Community Connector","Bangor","ME","10096","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04951","Bangor, ME","61539","20","0","0","276931","276931",
"Western Maine Transportation Services, Inc.","Auburn","ME","10098","Private-Non-Profit Corporation","Full Reporter","2024","49339","Lewiston, ME","60743","42","342696","0","0","342696",
"York County Community Action Corporation","Sanford","ME","10099","Private-Non-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","0","0","614845","614845",
"Connecticut Department of Transportation","Newington","CT","10102","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","29","0","53968205","0","53968205",
"Cape Cod Regional Transit Authority","Hyannis","MA","10105","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05167","Barnstable Town, MA","303269","127","0","10668147","0","10668147",
"Milford Transit District","Milford","CT","10107","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","11","0","2424069","0","2424069",
"City of South Portland, dba: City of South Portland Bus Service","South Portland","ME","10112","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71263","Portland, ME","205356","3","0","0","87021","87021",
"Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus, dba: BSOOB Transit","Saco","ME","10114","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","71263","Portland, ME","205356","12","0","0","178095","178095",
"Northern New England Passenger Rail Authority, dba: Amtrak Downeaster","Portland","ME","10115","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","21","0","4453811","0","4453811",
"MetroWest Regional Transit Authority","Framingham","MA","10118","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","106","10260385","268746","0","10529131",
"University Of New Hampshire, dba: Wildcat Transit","Durham","NH","10119","University","Reduced Reporter","2024","24607","Dover--Rochester, NH--ME","72391","15","0","0","0","0",
"Androscoggin Valley Council of Governments","Auburn","ME","10121","MPO, COG or Other Planning Agency","Planning Reporter","2024","49339","Lewiston, ME","59397","0","0","0","0","0",
"Jalbert Leasing, Inc., dba: C&J Bus Lines","Portsmouth","NH","10122","Private-For-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","0","0","0","0",
"Connecticut Department of Transportation- CTTransit Waterbury- NET, dba: CTTransit","Watertown","CT","10128","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","92485","Waterbury, CT","199317","62","0","0","0","0",
"Connecticut Department of Transportation -CTTRANSIT New Britain, dba: CTTRANSIT","Berlin","CT","10130","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","18","0","9579340","0","9579340",
"Northwestern CT Transit District","Torrington","CT","10131","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","0","0","95905","95905",
"Boston Express Bus, Inc.","Concord","NH","10133","Private-For-Profit Corporation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","17","0","0","0","0",
"Penquis Community Action Program, dba: Penquis Transportation Services","Bangor","ME","10134","Private-Non-Profit Corporation","Reduced Reporter","2024","04951","Bangor, ME","61539","99","0","0","937936","937936",
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"0","0","0","182320","182320",
"Advance Transit, Inc. NH","White River Junction","VT","10137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"30","0","0","262429","262429",
"Estuary Transit District, dba: River Valley Transit","Middletown","CT","10140","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","37243","Hartford, CT","977158","23","0","0","5500020","5500020",
"Aroostook Regional Transportation Systems, Inc., dba: Aroostook Regional Transportation Systems","Presque Isle","ME","10142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23","0","0","232693","232693",
"Tri-Valley Transit Inc","Middlebury","VT","10143","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"81","0","0","1065644","1065644",
"Southeast Vermont Transit, Inc","Wilmington","VT","10144","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"80","0","0","934029","934029",
"Martha's Vineyard Transit Authority","Edgartown","MA","10145","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"33","0","0","12812721","12812721",
"Rural Community Transportation","Lyndonville","VT","10148","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68","0","0","718549","718549",
"Windham Region Transit District","Mansfield Center","CT","10149","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","64135","Norwich--New London, CT","167432","26","0","0","1772998","1772998",
"Green Mountain Community Network","Bennington","VT","10151","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","0","0","205542","205542",
"Town of Cranberry Isles","Islesford","ME","10153","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0",
"Marble Valley Regional Transit District","Rutland","VT","10154","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"65","0","0","1466586","1466586",
"Kennebec Valley Community Action Program","Waterville","ME","10155","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"50","0","0","642565","642565",
"Northeastern Connecticut Transit District","Dayville","CT","10156","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","78059","78059",
"VNA Home Healthcare, Hospice & Community Service","Keene","NH","10159","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","153208","153208",
"Belknap-Merrimack CAP/Concord Area Transit, dba: Community Action Program Belknap-Merrimack Countie","Concord","NH","10161","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","166625","166625",
"Nantucket Regional Transit Authority","Nantucket","MA","10162","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","0","0","9879491","9879491",
"Isle au Haut Boat Services","Stonington","ME","10167","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0",
"Waldo Community Action Partners","Belfast","ME","10169","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"40","0","0","186233","186233",
"Tri-County CAP, Inc./Carroll County Transit, dba: Tri County Community Action Program, Inc.","Berlin","NH","10170","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","68411","68411",
"Tri-County CAP, Inc./North Country Transit, dba: Tri County Community Action Program, Inc.","Berlin","NH","10172","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","0","0","46369","46369",
"Franklin Regional Transit Authority","Greenfield","MA","10173","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"41","0","0","2329977","2329977",
"Vermont Association for the Blind and Visually Impaired","South Burlington","VT","10174","Private-Non-Profit Corporation","Reduced Reporter","2024","11755","Burlington, VT","118032","7","0","0","0","0",
"Downeast Transportation, Inc., dba: Downeast","Trenton","ME","10175","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"34","0","0","128986","128986",
"West's Transportation, Inc., dba: West's Bus Service","Steuben","ME","10177","Private-For-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0",
"Town of Bedford, dba: Bedford Local Transit","Bedford","MA","10178","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","2","0","0","0","0",
"City of Beverly","Beverly","MA","10179","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","1","0","0","61593","61593",
"Town of Lexington, dba: Lexpress","Lexington","MA","10181","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","3","0","0","67162","67162",
"Mission Hill Link, Inc., dba: Mission Hill Link","Boston","MA","10182","Private-Non-Profit Corporation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","1","0","0","96486","96486",
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority, dba: The Steamship Authority","Falmouth","MA","10183","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05167","Barnstable Town, MA","303269","25","0","0","0","0",
"The Mashpee Wampanoag Tribe","Mashpee","MA","10184","Tribe","Reduced Reporter","2024","05167","Barnstable Town, MA","303269","4","0","0","0","0",
"Concord Coach Lines, Inc","Concord","NH","10197","Private-For-Profit Corporation","Planning Reporter","2024","09271","Boston, MA--NH","4382009","0","0","0","0","0",
"Houlton Band of Maliseet Indians","Littleton","ME","11140","Tribe","Reduced Reporter","2024","00023","Maine Non-UZA","995851","11","0","0","0","0",
